sujeto,grupo,region,banda,potencia
48,CTR,central,theta,7.006597667614595e-12
48,CTR,frontal,alfa,4.633760022517702e-11
48,CTR,frontal,beta,1.5715348686190247e-11
48,CTR,frontal,delta,7.594559014652045e-11
48,CTR,frontal,theta,1.689018559688778e-11
48,CTR,occipital,alfa,9.318578679573504e-12
48,CTR,occipital,beta,3.997990026395513e-12
48,CTR,occipital,delta,8.62358820074195e-12
48,CTR,occipital,theta,3.485908556073608e-12
48,CTR,parietal,alfa,1.2964749215434022e-11
48,CTR,parietal,beta,5.941557347977489e-12
48,CTR,parietal,delta,1.2480849910973796e-11
48,CTR,parietal,theta,4.828267871591677e-12
50,CTR,central,alfa,7.661257208903376e-12
50,CTR,central,beta,5.493027132757616e-12
50,CTR,central,delta,1.2552871820646564e-11
50,CTR,central,theta,5.21287315636794e-12
50,CTR,frontal,alfa,1.3288018100196806e-11
50,CTR,frontal,beta,1.0247522698448637e-11
50,CTR,frontal,delta,4.15851684556038e-11
50,CTR,frontal,theta,1.1174483250793105e-11
50,CTR,occipital,alfa,4.802355151381307e-12
50,CTR,occipital,beta,3.158836769448327e-12
50,CTR,occipital,delta,1.0394657229098224e-11
50,CTR,occipital,theta,4.011285407050548e-12
50,CTR,parietal,alfa,4.296641843384115e-12
50,CTR,parietal,beta,3.5030261935476274e-12
50,CTR,parietal,delta,1.7054047228576617e-11
50,CTR,parietal,theta,3.91551063048934e-12
52,CTR,central,alfa,5.7170220439305115e-11
52,CTR,central,beta,1.037051296237025e-11
52,CTR,central,delta,2.0316079370744295e-11
52,CTR,central,theta,2.100795252792139e-11
52,CTR,frontal,alfa,9.200220749288942e-11
52,CTR,frontal,beta,1.416792148936206e-11
52,CTR,frontal,delta,2.8397695824054627e-11
52,CTR,frontal,theta,3.340952760630241e-11
52,CTR,occipital,alfa,4.29303612300278e-11
52,CTR,occipital,beta,5.267487716127458e-12
52,CTR,occipital,delta,1.1983610083327055e-11
52,CTR,occipital,theta,1.4984768299470823e-11
52,CTR,parietal,alfa,1.8223421905526746e-11
52,CTR,parietal,beta,4.52733033380932e-12
52,CTR,parietal,delta,1.4219013243932256e-11
52,CTR,parietal,theta,8.540004952827759e-12
60,EXP,central,alfa,3.959160610175177e-11
60,EXP,central,beta,6.2959580283944e-12
60,EXP,central,delta,8.924430158785673e-12
60,EXP,central,theta,1.1063852673186694e-11
60,EXP,frontal,alfa,6.0453803726749e-11
60,EXP,frontal,beta,9.220874556806274e-12
60,EXP,frontal,delta,1.9977861669990988e-11
60,EXP,frontal,theta,1.88203400765259e-11
60,EXP,occipital,alfa,2.684536162536814e-11
60,EXP,occipital,beta,4.324656217875035e-12
60,EXP,occipital,delta,4.558666960271434e-12
60,EXP,occipital,theta,6.745059675302539e-12
60,EXP,parietal,alfa,2.1954017811618258e-11
60,EXP,parietal,beta,3.879857496113845e-12
60,EXP,parietal,delta,1.9913599226472515e-11
60,EXP,parietal,theta,1.0593123242624789e-11
61,EXP,central,alfa,4.0843965020655577e-10
61,EXP,central,beta,1.1609804428175084e-10
61,EXP,central,delta,2.7356963645010505e-11
61,EXP,central,theta,2.6107818689417182e-11
61,EXP,frontal,alfa,5.786600092034092e-10
61,EXP,frontal,beta,1.5728073196752244e-10
61,EXP,frontal,delta,5.510991276687742e-11
61,EXP,frontal,theta,3.8351567718020025e-11
61,EXP,occipital,alfa,1.535719606407011e-10
61,EXP,occipital,beta,5.5597922645010164e-11
61,EXP,occipital,delta,1.807545010631804e-11
61,EXP,occipital,theta,1.3303590141695845e-11
61,EXP,parietal,alfa,1.6819144738461118e-10
61,EXP,parietal,beta,5.8117666318656815e-11
61,EXP,parietal,delta,1.6352153202067072e-11
61,EXP,parietal,theta,1.5291554646665574e-11
65,EXP,central,alfa,8.590479011713669e-11
65,EXP,central,beta,7.396707440965415e-12
65,EXP,central,delta,9.144091302013319e-12
65,EXP,central,theta,9.61180118521811e-12
65,EXP,frontal,alfa,1.4973847362101255e-10
65,EXP,frontal,beta,1.0373057426046576e-11
65,EXP,frontal,delta,1.612022345584041e-11
65,EXP,frontal,theta,1.4661372521322572e-11
65,EXP,occipital,alfa,2.7875703016052218e-11
65,EXP,occipital,beta,6.4347990623954415e-12
65,EXP,occipital,delta,9.978368535206817e-12
65,EXP,occipital,theta,5.7584704448458114e-12
65,EXP,parietal,alfa,1.849014687579837e-11
65,EXP,parietal,beta,6.452460323236302e-12
65,EXP,parietal,delta,1.0927769541735061e-11
65,EXP,parietal,theta,5.197841598383184e-12
66,EXP,central,alfa,2.550722631000897e-11
66,EXP,central,beta,6.9488457146214054e-12
66,EXP,central,delta,1.8671244506521692e-11
66,EXP,central,theta,9.063306946839517e-12
66,EXP,frontal,alfa,3.0061462305737065e-11
66,EXP,frontal,beta,7.129039992401444e-12
66,EXP,frontal,delta,2.624988094943119e-11
66,EXP,frontal,theta,1.2002164776465836e-11
66,EXP,occipital,alfa,7.496246080712926e-10
66,EXP,occipital,beta,6.195274437590323e-10
66,EXP,occipital,delta,1.4353918770018266e-08
66,EXP,occipital,theta,2.09135915496902e-09
66,EXP,parietal,alfa,1.0449472135150975e-11
66,EXP,parietal,beta,3.895174253057666e-12
66,EXP,parietal,delta,1.2805122929856867e-11
66,EXP,parietal,theta,5.0006914123232695e-12
70,EXP,central,alfa,9.219972906222131e-11
70,EXP,central,beta,2.1413956735966026e-11
70,EXP,central,delta,2.2818087304718212e-11
70,EXP,central,theta,4.585105338604712e-11
70,EXP,frontal,alfa,1.956248109958089e-10
70,EXP,frontal,beta,2.848688101753939e-11
70,EXP,frontal,delta,4.598457380042675e-11
70,EXP,frontal,theta,1.0475620025478025e-10
70,EXP,occipital,alfa,3.184678245001214e-11
70,EXP,occipital,beta,1.4358415702978287e-11
70,EXP,occipital,delta,1.6143967717348105e-11
70,EXP,occipital,theta,1.783633560670558e-11
70,EXP,parietal,alfa,2.0156884078417632e-11
70,EXP,parietal,beta,1.4067743927641787e-11
70,EXP,parietal,delta,1.0713759029208212e-11
70,EXP,parietal,theta,1.61315176277023e-11
71,EXP,central,alfa,7.69502046939728e-11
71,EXP,central,beta,1.1369490240299348e-11
71,EXP,central,delta,1.6675801037794467e-11
71,EXP,central,theta,2.9227742304732653e-11
71,EXP,frontal,alfa,1.2170269300022275e-10
71,EXP,frontal,beta,1.970413369861936e-11
71,EXP,frontal,delta,3.4104410052408506e-11
71,EXP,frontal,theta,5.903458788540642e-11
71,EXP,occipital,alfa,6.177089589668716e-11
71,EXP,occipital,beta,7.223116395891599e-12
71,EXP,occipital,delta,1.256839566230814e-11
71,EXP,occipital,theta,2.8194417758011762e-11
71,EXP,parietal,alfa,6.35292630917194e-11
71,EXP,parietal,beta,8.924704251009238e-12
71,EXP,parietal,delta,1.7173006077770462e-11
71,EXP,parietal,theta,3.301884617950212e-11
73,EXP,central,alfa,2.383959131442055e-11
73,EXP,central,beta,2.0100242709214047e-11
73,EXP,central,delta,2.1426052794717208e-11
73,EXP,central,theta,1.361347067603836e-11
73,EXP,frontal,alfa,3.899551924945049e-11
73,EXP,frontal,beta,5.0099433673711444e-11
73,EXP,frontal,delta,4.471968902407382e-11
73,EXP,frontal,theta,2.846509478643591e-11
73,EXP,occipital,alfa,3.904212022987944e-11
73,EXP,occipital,beta,3.831376143967866e-11
73,EXP,occipital,delta,3.5651156280441247e-10
73,EXP,occipital,theta,7.591915354078558e-11
73,EXP,parietal,alfa,9.791007556468636e-12
73,EXP,parietal,beta,5.5183384976686646e-12
73,EXP,parietal,delta,1.5133284220607182e-11
73,EXP,parietal,theta,6.167771697138507e-12
74,EXP,central,alfa,1.3416290111595484e-10
74,EXP,central,beta,1.7604832252640876e-11
74,EXP,central,delta,2.3694447465809697e-11
74,EXP,central,theta,2.1010038400775624e-11
74,EXP,frontal,alfa,1.7658774728061007e-10
74,EXP,frontal,beta,2.571745713993553e-11
74,EXP,frontal,delta,5.96484906351813e-11
74,EXP,frontal,theta,3.5249734381614725e-11
74,EXP,occipital,alfa,6.573120128386493e-11
74,EXP,occipital,beta,8.80459187934376e-12
74,EXP,occipital,delta,8.986497912409516e-12
74,EXP,occipital,theta,8.588829977807902e-12
74,EXP,parietal,alfa,7.293946488303694e-11
74,EXP,parietal,beta,1.1113060596815201e-11
74,EXP,parietal,delta,2.0606305414386125e-11
74,EXP,parietal,theta,1.2945782840982855e-11
75,EXP,central,alfa,1.854869669216491e-10
75,EXP,central,beta,1.3217716074574989e-11
75,EXP,central,delta,1.9196127630846343e-11
75,EXP,central,theta,4.904878977239834e-11
75,EXP,frontal,alfa,2.6490464724560857e-10
75,EXP,frontal,beta,2.0925509894571894e-11
75,EXP,frontal,delta,4.066993288643498e-11
75,EXP,frontal,theta,8.545038139394495e-11
75,EXP,occipital,alfa,2.778697299780246e-11
75,EXP,occipital,beta,4.123948954753159e-12
75,EXP,occipital,delta,6.21291870179228e-12
75,EXP,occipital,theta,1.1289329359829868e-11
75,EXP,parietal,alfa,5.114422763830532e-11
75,EXP,parietal,beta,5.986428828143228e-12
75,EXP,parietal,delta,9.94051124105623e-12
75,EXP,parietal,theta,2.033273235281472e-11
78,EXP,central,alfa,5.0754128093136845e-11
78,EXP,central,beta,8.817928133343201e-12
78,EXP,central,delta,3.731135676572329e-12
78,EXP,central,theta,3.5289079500073515e-12
78,EXP,frontal,alfa,7.504478578412715e-11
78,EXP,frontal,beta,1.2548987715869925e-11
78,EXP,frontal,delta,7.80258198715284e-12
78,EXP,frontal,theta,5.434115031251355e-12
78,EXP,occipital,alfa,1.728394085392914e-11
78,EXP,occipital,beta,3.472428493919303e-12
78,EXP,occipital,delta,1.0487314927807836e-12
78,EXP,occipital,theta,9.983730415648896e-13
78,EXP,parietal,alfa,2.5783007916387083e-11
78,EXP,parietal,beta,4.4312784961726e-12
78,EXP,parietal,delta,1.8053957039956143e-12
78,EXP,parietal,theta,1.8739584017031387e-12
80,EXP,central,alfa,2.0131303578747125e-11
80,EXP,central,beta,9.970993598743027e-12
80,EXP,central,delta,9.259921999597582e-12
80,EXP,central,theta,8.326643857926765e-12
80,EXP,frontal,alfa,2.4809968288987884e-11
