sujeto,grupo,region,banda,potencia
48,CTR,central,delta,1.694086771198558e-11
48,CTR,central,theta,7.034528259886783e-12
48,CTR,frontal,alfa,4.82913027788946e-11
48,CTR,frontal,beta,1.3890833301498513e-11
48,CTR,frontal,delta,7.585226720935495e-11
48,CTR,frontal,theta,1.712055550288774e-11
48,CTR,occipital,alfa,9.318450547327645e-12
48,CTR,occipital,beta,3.997936718603949e-12
48,CTR,occipital,delta,8.623469005249155e-12
48,CTR,occipital,theta,3.4858610698081573e-12
48,CTR,parietal,alfa,8.669507109858572e-12
48,CTR,parietal,beta,4.358959547715912e-12
48,CTR,parietal,delta,9.148952517120498e-12
48,CTR,parietal,theta,3.419939079309829e-12
50,CTR,central,alfa,7.359899480383668e-12
50,CTR,central,beta,5.245700248358079e-12
50,CTR,central,delta,1.2320520471981435e-11
50,CTR,central,theta,5.224004232184641e-12
50,CTR,frontal,alfa,1.3761400312778396e-11
50,CTR,frontal,beta,1.0236580921743176e-11
50,CTR,frontal,delta,4.657302304879834e-11
50,CTR,frontal,theta,1.165898543271707e-11
50,CTR,occipital,alfa,4.802292008014297e-12
50,CTR,occipital,beta,3.1587945195984265e-12
50,CTR,occipital,delta,1.0394515618691328e-11
50,CTR,occipital,theta,4.0112312072257635e-12
50,CTR,parietal,alfa,2.5001047822618256e-12
50,CTR,parietal,beta,2.131728923649068e-12
50,CTR,parietal,delta,1.0597208491577311e-11
50,CTR,parietal,theta,2.3798928821832113e-12
52,CTR,central,alfa,5.834971826055454e-11
52,CTR,central,beta,9.251617724066402e-12
52,CTR,central,delta,2.2373337759884322e-11
52,CTR,central,theta,2.2152544276720592e-11
52,CTR,frontal,alfa,9.57256710908129e-11
52,CTR,frontal,beta,1.3880511516684116e-11
52,CTR,frontal,delta,2.203625148832856e-11
52,CTR,frontal,theta,3.503635222079651e-11
52,CTR,occipital,alfa,4.2929783227016674e-11
52,CTR,occipital,beta,5.267416533259559e-12
52,CTR,occipital,delta,1.1983453619913616e-11
52,CTR,occipital,theta,1.498455754373495e-11
52,CTR,parietal,alfa,1.0045547973299404e-11
52,CTR,parietal,beta,3.1738632616888034e-12
52,CTR,parietal,delta,1.4855580425610235e-11
52,CTR,parietal,theta,5.657202673095618e-12
54,CTR,central,alfa,9.947252263644286e-06
54,CTR,central,beta,2.906298445832143e-05
54,CTR,central,delta,5.469870689272932e-05
54,CTR,central,theta,1.4272064645812878e-05
54,CTR,frontal,alfa,9.67126085597009e-06
54,CTR,frontal,beta,2.841873468590512e-05
54,CTR,frontal,delta,5.1992369281708795e-05
54,CTR,frontal,theta,1.3750463163929876e-05
54,CTR,occipital,alfa,9.649264429438112e-06
54,CTR,occipital,beta,2.8294441562523884e-05
54,CTR,occipital,delta,5.207264184043381e-05
54,CTR,occipital,theta,1.3717916444218098e-05
54,CTR,parietal,alfa,9.741399333788471e-06
54,CTR,parietal,beta,2.8559492016064354e-05
54,CTR,parietal,delta,5.27790891927292e-05
54,CTR,parietal,theta,1.3880592241809169e-05
60,EXP,central,alfa,3.752355409472166e-11
60,EXP,central,beta,4.895843293106814e-12
60,EXP,central,delta,7.343261335778346e-12
60,EXP,central,theta,8.776592068636206e-12
60,EXP,frontal,alfa,5.933998974640946e-11
60,EXP,frontal,beta,7.408843549153062e-12
60,EXP,frontal,delta,1.582420442330652e-11
60,EXP,frontal,theta,1.4782352559849248e-11
60,EXP,occipital,alfa,2.6844995509468852e-11
60,EXP,occipital,beta,4.324597829139125e-12
60,EXP,occipital,delta,4.5586044163991445e-12
60,EXP,occipital,theta,6.744968516997788e-12
60,EXP,parietal,alfa,7.0900427928176315e-12
60,EXP,parietal,beta,1.9761607542405644e-12
60,EXP,parietal,delta,2.5473718804522493e-12
60,EXP,parietal,theta,2.4518028943747483e-12
61,EXP,central,alfa,4.203496609570335e-10
61,EXP,central,beta,1.1284517730233029e-10
61,EXP,central,delta,2.4616987417847146e-11
61,EXP,central,theta,2.6253305429113353e-11
61,EXP,frontal,alfa,5.996358112853501e-10
61,EXP,frontal,beta,1.5947005040791648e-10
61,EXP,frontal,delta,4.526647540325736e-11
61,EXP,frontal,theta,3.949702801287064e-11
61,EXP,occipital,alfa,1.5356989397631606e-10
61,EXP,occipital,beta,5.559718473973479e-11
61,EXP,occipital,delta,1.807520365865759e-11
61,EXP,occipital,theta,1.3303413352939544e-11
61,EXP,parietal,alfa,1.1532332346603152e-10
61,EXP,parietal,beta,3.7512227634288047e-11
61,EXP,parietal,delta,8.748940054596558e-12
61,EXP,parietal,theta,8.81738282679452e-12
65,EXP,central,alfa,9.313847875477292e-11
65,EXP,central,beta,6.6781294596303655e-12
65,EXP,central,delta,8.8769935852066e-12
65,EXP,central,theta,1.0066050220322839e-11
65,EXP,frontal,alfa,1.6311890966097388e-10
65,EXP,frontal,beta,9.338971237583408e-12
65,EXP,frontal,delta,1.36982708547905e-11
65,EXP,frontal,theta,1.5408069377970308e-11
65,EXP,occipital,alfa,2.7875331858064727e-11
65,EXP,occipital,beta,6.4347120263918365e-12
65,EXP,occipital,delta,9.978234016607952e-12
65,EXP,occipital,theta,5.7583919781523405e-12
65,EXP,parietal,alfa,1.189637760207606e-11
65,EXP,parietal,beta,3.4642209067353097e-12
65,EXP,parietal,delta,5.3862738122733065e-12
65,EXP,parietal,theta,2.9281361483325787e-12
66,EXP,central,alfa,2.6323284437286835e-11
66,EXP,central,beta,6.774096074437745e-12
66,EXP,central,delta,2.0935781349745872e-11
66,EXP,central,theta,9.909572695253856e-12
66,EXP,frontal,alfa,3.0893905901427855e-11
66,EXP,frontal,beta,6.95439907900542e-12
66,EXP,frontal,delta,2.2189084503275203e-11
66,EXP,frontal,theta,1.2671256981972376e-11
66,EXP,occipital,alfa,7.496130060378634e-10
66,EXP,occipital,beta,6.195189547294556e-10
66,EXP,occipital,delta,1.435367630433488e-08
66,EXP,occipital,theta,2.0913234119327388e-09
66,EXP,parietal,alfa,1.0018255777386003e-11
66,EXP,parietal,beta,3.749543067594973e-12
66,EXP,parietal,delta,1.5524468722160246e-11
66,EXP,parietal,theta,4.9102662884943564e-12
70,EXP,central,alfa,9.000909796729189e-11
70,EXP,central,beta,2.1203138351513888e-11
70,EXP,central,delta,2.1468892448341645e-11
70,EXP,central,theta,4.113136800004453e-11
70,EXP,frontal,alfa,1.8861722539516526e-10
70,EXP,frontal,beta,2.7336568638437932e-11
70,EXP,frontal,delta,3.587970971825324e-11
70,EXP,frontal,theta,9.23950634241392e-11
70,EXP,occipital,alfa,3.1846371222951416e-11
70,EXP,occipital,beta,1.435822264170422e-11
70,EXP,occipital,delta,1.6143749116798518e-11
70,EXP,occipital,theta,1.7836097600327867e-11
70,EXP,parietal,alfa,1.2179821796770823e-11
70,EXP,parietal,beta,1.1532132382965515e-11
70,EXP,parietal,delta,5.341471025855112e-12
70,EXP,parietal,theta,7.43623057737999e-12
71,EXP,central,alfa,7.48976135276586e-11
71,EXP,central,beta,1.1127106386090236e-11
71,EXP,central,delta,1.5277679984127916e-11
71,EXP,central,theta,2.929205396940579e-11
71,EXP,frontal,alfa,1.2634087655946034e-10
71,EXP,frontal,beta,1.9378617904673085e-11
71,EXP,frontal,delta,3.0410094744449456e-11
71,EXP,frontal,theta,6.584585459035378e-11
71,EXP,occipital,alfa,6.17700770557678e-11
71,EXP,occipital,beta,7.223018659201758e-12
71,EXP,occipital,delta,1.2568229358530995e-11
71,EXP,occipital,theta,2.8194043471286968e-11
71,EXP,parietal,alfa,2.889148889433455e-11
71,EXP,parietal,beta,5.014816531998368e-12
71,EXP,parietal,delta,8.552139251964408e-12
71,EXP,parietal,theta,1.2434401159635664e-11
73,EXP,central,alfa,2.2525163542337784e-11
73,EXP,central,beta,2.0007614472067665e-11
73,EXP,central,delta,1.8999597272343665e-11
73,EXP,central,theta,1.272614661833906e-11
73,EXP,frontal,alfa,3.8117489754326355e-11
73,EXP,frontal,beta,5.3689482905996775e-11
73,EXP,frontal,delta,3.705911436794479e-11
73,EXP,frontal,theta,2.993629793531149e-11
73,EXP,occipital,alfa,3.9041599213858604e-11
73,EXP,occipital,beta,3.831325385593094e-11
73,EXP,occipital,delta,3.565068405553434e-10
73,EXP,occipital,theta,7.59181215775589e-11
73,EXP,parietal,alfa,5.732090842453671e-12
73,EXP,parietal,beta,4.197489549546905e-12
73,EXP,parietal,delta,1.1884257586470413e-11
73,EXP,parietal,theta,4.2081113733529666e-12
74,EXP,central,alfa,1.4017985330929272e-10
74,EXP,central,beta,1.7996783102220663e-11
74,EXP,central,delta,2.3989738662564875e-11
74,EXP,central,theta,2.0542317200120075e-11
74,EXP,frontal,alfa,1.840301908091024e-10
74,EXP,frontal,beta,2.3828102889834697e-11
74,EXP,frontal,delta,3.8979490292743904e-11
74,EXP,frontal,theta,3.2138552747606726e-11
74,EXP,occipital,alfa,6.573032289857963e-11
74,EXP,occipital,beta,8.804473345742064e-12
74,EXP,occipital,delta,8.986376436835553e-12
74,EXP,occipital,theta,8.588714464783943e-12
74,EXP,parietal,alfa,4.8152765128729785e-11
74,EXP,parietal,beta,8.656901275530145e-12
74,EXP,parietal,delta,2.258672842564758e-11
74,EXP,parietal,theta,1.0011939787465895e-11
75,EXP,central,alfa,1.92383561442512e-10
75,EXP,central,beta,1.3101484697631245e-11
75,EXP,central,delta,1.7602276663075267e-11
75,EXP,central,theta,5.042970845346351e-11
75,EXP,frontal,alfa,2.785288367280204e-10
75,EXP,frontal,beta,2.0767419895110186e-11
75,EXP,frontal,delta,3.629077699792217e-11
75,EXP,frontal,theta,9.556747584965591e-11
75,EXP,occipital,alfa,2.778658979702716e-11
75,EXP,occipital,beta,4.12389334068211e-12
75,EXP,occipital,delta,6.2128357975933326e-12
75,EXP,occipital,theta,1.1289178383938916e-11
75,EXP,parietal,alfa,4.548150238797919e-11
75,EXP,parietal,beta,4.376719776637392e-12
75,EXP,parietal,delta,7.174795442940258e-12
75,EXP,parietal,theta,1.4863056948642205e-11
78,EXP,central,alfa,5.11440249332351e-11
78,EXP,central,beta,7.55145092261786e-12
78,EXP,central,delta,3.738724986346416e-12
78,EXP,central,theta,3.600578449631206e-12
78,EXP,frontal,alfa,7.628843299581259e-11
78,EXP,frontal,beta,1.0549147724259628e-11
78,EXP,frontal,delta,7.268015282981344e-12
78,EXP,frontal,theta,5.651415210122423e-12
78,EXP,occipital,alfa,1.7283708570848872e-11
78,EXP,occipital,beta,3.4723826739870755e-12
78,EXP,occipital,delta,1.0487171070500415e-12
78,EXP,occipital,theta,9.983594800491366e-13
78,EXP,parietal,alfa,1.4303325537862243e-11
78,EXP,parietal,beta,3.2775857788548482e-12
78,EXP,parietal,delta,1.6002838693206308e-12
78,EXP,parietal,theta,1.2623892999549756e-12
80,EXP,central,alfa,2.2086117831974805e-11
80,EXP,central,beta,1.0227045083446782e-11
80,EXP,central,delta,9.758631001542665e-12
80,EXP,central,theta,8.651224613340384e-12
80,EXP,frontal,alfa,2.7754484234265015e-11
80,EXP,frontal,beta,1.5050752007320442e-11
80,EXP,frontal,delta,1.5234079272311623e-11
80,EXP,frontal,theta,1.4196919695795668e-11
80,EXP,occipital,alfa,3.1128978825189044e-11
80,EXP,occipital,beta,4.129211143628013e-12
80,EXP,occipital,delta,5.96094484974736e-12
80,EXP,occipital,theta,5.1824123867660716e-12
80,EXP,parietal,alfa,6.9176970063451666e-12
80,EXP,parietal,beta,2.153432884194553e-12
80,EXP,parietal,delta,2.6596275914350063e-12
80,EXP,parietal,theta,2.1237473485863453e-12
